1: (HighCard, ['2', '3', 'T', '4', 'Q'])
494: (ThreeOfAKind, ['2', 'J', 'T', '7', '7'])
495: (ThreeOfAKind, ['2', '2', 'J', 'Q', '8'])
496: (ThreeOfAKind, ['2', '2', '2', '6', '4'])
497: (ThreeOfAKind, ['2', '2', '4', 'J', 'T'])
498: (ThreeOfAKind, ['2', '2', '9', '2', '4'])
499: (ThreeOfAKind, ['2', '3', '2', '2', '8'])
500: (ThreeOfAKind, ['2', '3', '3', '3', '7'])
501: (ThreeOfAKind, ['2', '3', 'T', 'T', 'J'])
502: (ThreeOfAKind, ['2', '8', '6', '6', '6'])
503: (ThreeOfAKind, ['2', '9', 'J', 'T', 'T'])
504: (ThreeOfAKind, ['2', '9', '2', '8', '2'])
505: (ThreeOfAKind, ['2', '9', '2', 'Q', '2'])
506: (ThreeOfAKind, ['2', 'Q', '2', '6', '2'])
507: (ThreeOfAKind, ['2', 'K', '2', '2', '9'])
508: (ThreeOfAKind, ['3', 'J', '2', 'T', '3'])
509: (ThreeOfAKind, ['3', 'J', '3', 'A', 'T'])
510: (ThreeOfAKind, ['3', 'J', '8', 'A', 'A'])
511: (ThreeOfAKind, ['3', 'J', 'A', '7', '3'])
512: (ThreeOfAKind, ['3', '2', '3', '6', '3'])
513: (ThreeOfAKind, ['3', '2', '5', '5', '5'])
514: (ThreeOfAKind, ['3', '3', '3', '4', '7'])
515: (ThreeOfAKind, ['3', '3', 'K', 'J', 'T'])
516: (ThreeOfAKind, ['3', '4', 'A', '4', '4'])
517: (ThreeOfAKind, ['3', '5', '3', '3', 'K'])
518: (ThreeOfAKind, ['3', '5', '5', 'T', '5'])
519: (ThreeOfAKind, ['3', '9', 'J', '3', '5'])
520: (ThreeOfAKind, ['3', '9', '3', '3', '8'])
521: (ThreeOfAKind, ['3', '9', '4', '3', '3'])
522: (ThreeOfAKind, ['3', 'T', '6', '3', '3'])
523: (ThreeOfAKind, ['3', 'Q', '3', '3', '4'])
524: (ThreeOfAKind, ['3', 'A', '3', '3', 'Q'])
525: (ThreeOfAKind, ['3', 'A', '7', 'A', 'J'])
526: (ThreeOfAKind, ['3', 'A', 'A', '9', 'A'])
527: (ThreeOfAKind, ['4', 'J', '3', '3', '8'])
528: (ThreeOfAKind, ['4', 'J', '4', 'A', 'Q'])
529: (ThreeOfAKind, ['4', 'J', '5', '4', '9'])
530: (ThreeOfAKind, ['4', 'J', '8', '7', '7'])
531: (ThreeOfAKind, ['4', '2', '4', '9', '4'])
532: (ThreeOfAKind, ['4', '3', 'J', 'A', 'A'])
533: (ThreeOfAKind, ['4', '3', '8', '3', '3'])
534: (ThreeOfAKind, ['4', '3', 'A', '4', 'J'])
535: (ThreeOfAKind, ['4', '4', '4', '7', 'A'])
536: (ThreeOfAKind, ['4', '5', '6', '5', '5'])
537: (ThreeOfAKind, ['4', '6', '4', '4', '3'])
538: (ThreeOfAKind, ['4', '6', '5', '4', '4'])
539: (ThreeOfAKind, ['4', '8', '9', '4', '4'])
540: (ThreeOfAKind, ['4', '9', '4', '4', '3'])
541: (ThreeOfAKind, ['4', '9', '7', '7', '7'])
542: (ThreeOfAKind, ['4', 'T', '6', 'T', 'J'])
543: (ThreeOfAKind, ['4', 'Q', 'J', 'Q', 'K'])
544: (ThreeOfAKind, ['4', 'A', 'Q', 'J', 'A'])
545: (ThreeOfAKind, ['5', 'J', 'J', '8', 'T'])
546: (ThreeOfAKind, ['5', 'J', '3', 'A', '5'])
547: (ThreeOfAKind, ['5', '2', '2', 'J', '6'])
548: (ThreeOfAKind, ['5', '2', '2', '4', '2'])
549: (ThreeOfAKind, ['5', '5', '5', '3', '4'])
550: (ThreeOfAKind, ['5', '5', '5', 'K', 'Q'])
551: (ThreeOfAKind, ['5', '5', 'Q', 'J', 'T'])
552: (ThreeOfAKind, ['5', '7', 'J', '8', '7'])
553: (ThreeOfAKind, ['5', '7', '7', '7', 'Q'])
554: (ThreeOfAKind, ['5', '7', '8', '7', '7'])
555: (ThreeOfAKind, ['5', 'T', 'T', '8', 'T'])
556: (ThreeOfAKind, ['5', 'A', '8', 'A', 'A'])
557: (ThreeOfAKind, ['6', 'J', '3', '4', '4'])
558: (ThreeOfAKind, ['6', '2', '2', 'K', '2'])
559: (ThreeOfAKind, ['6', '2', '4', '4', '4'])
560: (ThreeOfAKind, ['6', '3', 'J', '3', '8'])
561: (ThreeOfAKind, ['6', '3', '3', 'T', 'J'])
562: (ThreeOfAKind, ['6', '5', 'J', '3', '3'])
563: (ThreeOfAKind, ['6', '6', '4', '6', '9'])
564: (ThreeOfAKind, ['6', '6', '6', '5', '4'])
565: (ThreeOfAKind, ['6', '6', '7', '8', '6'])
566: (ThreeOfAKind, ['6', '6', 'A', '5', '6'])
567: (ThreeOfAKind, ['6', '8', '9', '8', 'J'])
568: (ThreeOfAKind, ['6', 'T', 'J', 'Q', '6'])
569: (ThreeOfAKind, ['6', 'T', '6', '6', '5'])
570: (ThreeOfAKind, ['6', 'K', '4', '6', '6'])
571: (ThreeOfAKind, ['6', 'A', '4', 'A', 'A'])
572: (ThreeOfAKind, ['6', 'A', '6', '3', '6'])
573: (ThreeOfAKind, ['7', 'J', '4', '3', '3'])
574: (ThreeOfAKind, ['7', 'J', 'Q', '7', '9'])
575: (ThreeOfAKind, ['7', '2', '2', '2', 'T'])
576: (ThreeOfAKind, ['7', '4', '4', '3', '4'])
577: (ThreeOfAKind, ['7', '4', '4', '4', 'Q'])
578: (ThreeOfAKind, ['7', '5', 'K', 'K', 'K'])
579: (ThreeOfAKind, ['7', '6', '6', 'J', 'A'])
580: (ThreeOfAKind, ['7', '7', '3', '2', 'J'])
581: (ThreeOfAKind, ['7', '7', '4', '6', 'J'])
582: (ThreeOfAKind, ['7', '7', '9', '7', 'Q'])
583: (ThreeOfAKind, ['7', '7', 'Q', 'K', '7'])
584: (ThreeOfAKind, ['7', '9', 'J', '8', 'J'])
585: (ThreeOfAKind, ['7', '9', '7', '3', '7'])
586: (ThreeOfAKind, ['7', '9', '9', 'A', 'J'])
587: (ThreeOfAKind, ['7', 'T', '5', '5', '5'])
588: (ThreeOfAKind, ['7', 'T', 'A', 'A', 'A'])
589: (ThreeOfAKind, ['7', 'Q', 'J', '6', '7'])
590: (ThreeOfAKind, ['7', 'K', '2', 'K', 'K'])
591: (ThreeOfAKind, ['7', 'K', 'K', 'K', '8'])
592: (ThreeOfAKind, ['7', 'A', '7', '2', 'J'])
593: (ThreeOfAKind, ['8', 'J', '3', 'J', 'K'])
594: (ThreeOfAKind, ['8', 'J', '4', '7', 'J'])
595: (ThreeOfAKind, ['8', '2', '8', '7', '8'])
596: (ThreeOfAKind, ['8', '4', '4', '4', '2'])
597: (ThreeOfAKind, ['8', '4', '5', '4', '4'])
598: (ThreeOfAKind, ['8', '4', 'K', '4', '4'])
599: (ThreeOfAKind, ['8', '6', '6', '9', 'J'])
600: (ThreeOfAKind, ['8', '6', '8', '4', '8'])
601: (ThreeOfAKind, ['8', '8', 'J', '2', 'K'])
602: (ThreeOfAKind, ['8', '8', '2', '8', '4'])
603: (ThreeOfAKind, ['8', '8', '2', '8', '5'])
604: (ThreeOfAKind, ['8', '8', '3', '5', '8'])
605: (ThreeOfAKind, ['8', '8', '5', '8', 'T'])
606: (ThreeOfAKind, ['8', '8', 'A', '8', '7'])
607: (ThreeOfAKind, ['8', '9', 'J', '8', 'Q'])
608: (ThreeOfAKind, ['8', '9', '2', '9', '9'])
609: (ThreeOfAKind, ['8', 'T', '6', '8', '8'])
610: (ThreeOfAKind, ['8', 'Q', '8', '8', '9'])
611: (ThreeOfAKind, ['8', 'A', '5', '8', '8'])
612: (ThreeOfAKind, ['8', 'A', 'T', 'J', 'A'])
613: (ThreeOfAKind, ['9', 'J', 'T', 'T', '4'])
614: (ThreeOfAKind, ['9', '3', '7', '3', '3'])
615: (ThreeOfAKind, ['9', '3', 'K', '3', '3'])
616: (ThreeOfAKind, ['9', '4', '9', '9', '8'])
617: (ThreeOfAKind, ['9', '5', '9', 'J', '6'])
618: (ThreeOfAKind, ['9', '7', '7', 'T', '7'])
619: (ThreeOfAKind, ['9', '9', 'J', '8', '6'])
620: (ThreeOfAKind, ['9', '9', '3', '9', '2'])
621: (ThreeOfAKind, ['9', '9', '4', '9', 'T'])
622: (ThreeOfAKind, ['9', '9', '6', 'T', '9'])
623: (ThreeOfAKind, ['9', '9', '9', '3', '4'])
624: (ThreeOfAKind, ['9', '9', 'Q', '7', 'J'])
625: (ThreeOfAKind, ['9', 'T', '3', 'T', 'J'])
626: (ThreeOfAKind, ['9', 'T', '5', '5', '5'])
627: (ThreeOfAKind, ['9', 'T', '9', '2', 'J'])
628: (ThreeOfAKind, ['9', 'Q', '2', '9', '9'])
629: (ThreeOfAKind, ['9', 'Q', '9', '9', '3'])
630: (ThreeOfAKind, ['9', 'K', 'K', '4', 'J'])
631: (ThreeOfAKind, ['9', 'A', 'J', 'A', '7'])
632: (ThreeOfAKind, ['T', '2', '7', 'J', 'J'])
633: (ThreeOfAKind, ['T', '4', 'J', '6', 'J'])
634: (ThreeOfAKind, ['T', '5', 'J', '4', '4'])
635: (ThreeOfAKind, ['T', '5', '4', '4', '4'])
636: (ThreeOfAKind, ['T', '6', 'T', 'J', 'K'])
637: (ThreeOfAKind, ['T', '9', '4', 'J', '4'])
638: (ThreeOfAKind, ['T', '9', '9', 'J', '6'])
639: (ThreeOfAKind, ['T', 'T', 'J', '6', '7'])
640: (ThreeOfAKind, ['T', 'T', '3', '5', 'T'])
641: (ThreeOfAKind, ['T', 'Q', '4', 'T', 'T'])
642: (ThreeOfAKind, ['T', 'K', '7', 'T', 'T'])
643: (ThreeOfAKind, ['T', 'K', 'A', 'T', 'T'])
644: (ThreeOfAKind, ['T', 'A', 'Q', 'T', 'J'])
645: (ThreeOfAKind, ['T', 'A', 'A', 'A', '5'])
646: (ThreeOfAKind, ['Q', 'J', 'J', '5', '8'])
647: (ThreeOfAKind, ['Q', 'J', 'Q', '5', '3'])
648: (ThreeOfAKind, ['Q', 'J', 'Q', '5', '4'])
649: (ThreeOfAKind, ['Q', '3', 'Q', 'K', 'Q'])
650: (ThreeOfAKind, ['Q', '8', '2', 'J', '8'])
651: (ThreeOfAKind, ['Q', '8', '7', 'Q', 'J'])
652: (ThreeOfAKind, ['Q', '8', 'A', 'Q', 'Q'])
653: (ThreeOfAKind, ['Q', 'Q', '8', '2', 'Q'])
654: (ThreeOfAKind, ['Q', 'Q', 'K', '6', 'J'])
655: (ThreeOfAKind, ['Q', 'A', 'A', 'A', '9'])
656: (ThreeOfAKind, ['K', 'J', '7', '7', '3'])
657: (ThreeOfAKind, ['K', 'J', 'Q', '8', 'Q'])
658: (ThreeOfAKind, ['K', '2', 'J', '2', '8'])
659: (ThreeOfAKind, ['K', '2', '5', '5', '5'])
660: (ThreeOfAKind, ['K', '2', '8', 'K', 'K'])
661: (ThreeOfAKind, ['K', '2', 'K', '6', 'K'])
662: (ThreeOfAKind, ['K', '5', '4', 'K', 'K'])
663: (ThreeOfAKind, ['K', '5', '8', '5', 'J'])
664: (ThreeOfAKind, ['K', '7', '7', '7', '3'])
665: (ThreeOfAKind, ['K', '8', '4', 'K', 'J'])
666: (ThreeOfAKind, ['K', '9', '9', '8', '9'])
667: (ThreeOfAKind, ['K', '9', 'K', 'K', '6'])
668: (ThreeOfAKind, ['K', 'T', 'J', '7', 'T'])
669: (ThreeOfAKind, ['K', 'T', '2', 'T', 'T'])
670: (ThreeOfAKind, ['K', 'Q', 'J', '2', 'Q'])
671: (ThreeOfAKind, ['K', 'Q', 'J', 'K', '5'])
672: (ThreeOfAKind, ['K', 'Q', 'T', 'K', 'K'])
673: (ThreeOfAKind, ['K', 'K', '6', 'K', '4'])
674: (ThreeOfAKind, ['K', 'K', 'K', '4', 'T'])
675: (ThreeOfAKind, ['K', 'K', 'K', '6', '8'])
676: (ThreeOfAKind, ['K', 'K', 'K', 'Q', '9'])
677: (ThreeOfAKind, ['A', 'J', 'J', '6', '8'])
678: (ThreeOfAKind, ['A', 'J', 'K', '2', '2'])
679: (ThreeOfAKind, ['A', '2', 'Q', '2', '2'])
680: (ThreeOfAKind, ['A', '4', 'J', 'Q', 'J'])
681: (ThreeOfAKind, ['A', '4', 'T', 'J', '4'])
682: (ThreeOfAKind, ['A', '5', 'J', '7', 'A'])
683: (ThreeOfAKind, ['A', '5', 'A', 'K', 'A'])
684: (ThreeOfAKind, ['A', '5', 'A', 'A', '9'])
685: (ThreeOfAKind, ['A', '6', 'J', '3', '3'])
686: (ThreeOfAKind, ['A', '7', 'J', '7', 'K'])
687: (ThreeOfAKind, ['A', '8', '8', '2', '8'])
688: (ThreeOfAKind, ['A', '8', 'A', '6', 'A'])
689: (ThreeOfAKind, ['A', '8', 'A', 'A', '3'])
690: (ThreeOfAKind, ['A', '9', 'A', 'K', 'A'])
691: (ThreeOfAKind, ['A', 'T', 'J', 'Q', 'J'])
692: (ThreeOfAKind, ['A', 'A', 'T', 'A', '8'])
693: (ThreeOfAKind, ['A', 'A', 'T', 'A', 'K'])
694: (FullHouse, ['J', 'J', 'J', '4', '4'])
695: (FullHouse, ['J', 'J', 'J', '8', '8'])
696: (FullHouse, ['J', 'J', '9', '9', '9'])
697: (FullHouse, ['J', '3', 'A', 'A', '3'])
698: (FullHouse, ['J', '5', 'J', 'J', '5'])
699: (FullHouse, ['J', '5', '9', '9', '5'])
700: (FullHouse, ['J', '6', 'J', '6', 'J'])
701: (FullHouse, ['J', '6', '6', '6', 'J'])
702: (FullHouse, ['J', '7', '7', 'J', '7'])
703: (FullHouse, ['J', '8', '4', '4', '8'])
704: (FullHouse, ['2', '2', 'J', 'J', '2'])
705: (FullHouse, ['2', '2', '2', 'T', 'T'])
706: (FullHouse, ['2', '2', '2', 'Q', 'Q'])
707: (FullHouse, ['2', '2', '2', 'K', 'K'])
708: (FullHouse, ['2', '2', '5', '2', '5'])
709: (FullHouse, ['2', '2', '6', '6', '2'])
710: (FullHouse, ['2', '2', '9', '9', '9'])
711: (FullHouse, ['2', '2', 'K', 'K', 'K'])
712: (FullHouse, ['2', '3', '2', '3', '2'])
713: (FullHouse, ['2', '4', '2', '4', 'J'])
714: (FullHouse, ['2', 'Q', '2', 'J', 'Q'])
715: (FullHouse, ['2', 'A', '2', 'A', 'A'])
716: (FullHouse, ['3', 'J', 'Q', '3', 'Q'])
717: (FullHouse, ['3', '2', '3', '2', '3'])
718: (FullHouse, ['3', '3', 'J', 'J', 'J'])
719: (FullHouse, ['3', '3', 'J', 'J', '3'])
720: (FullHouse, ['3', '3', '6', '6', '6'])
721: (FullHouse, ['3', '3', 'K', 'K', 'K'])
722: (FullHouse, ['3', '6', '3', '6', '3'])
723: (FullHouse, ['3', 'T', 'T', '3', 'T'])
724: (FullHouse, ['3', 'Q', '3', 'Q', 'Q'])
725: (FullHouse, ['4', 'J', '3', '4', '3'])
726: (FullHouse, ['4', '2', '2', '4', '2'])
727: (FullHouse, ['4', '2', '4', '4', '2'])
728: (FullHouse, ['4', '4', '4', 'Q', 'Q'])
729: (FullHouse, ['4', '4', '4', 'A', 'A'])
730: (FullHouse, ['4', '4', '7', 'J', '7'])
731: (FullHouse, ['4', '4', '8', '8', '4'])
732: (FullHouse, ['4', '8', '8', '8', '4'])
733: (FullHouse, ['4', 'T', 'T', '4', '4'])
734: (FullHouse, ['4', 'K', '4', 'K', 'J'])
735: (FullHouse, ['5', '3', '3', '3', '5'])
736: (FullHouse, ['5', '4', 'J', '5', '4'])
737: (FullHouse, ['5', '4', '5', '4', '5'])
738: (FullHouse, ['5', '5', '3', '3', '5'])
739: (FullHouse, ['5', '5', '5', 'J', 'J'])
740: (FullHouse, ['5', '5', '5', '7', '7'])
741: (FullHouse, ['5', '5', 'T', 'T', '5'])
742: (FullHouse, ['5', '6', '6', '5', '6'])
743: (FullHouse, ['5', '7', '7', '5', '7'])
744: (FullHouse, ['5', 'K', '5', 'K', 'K'])
745: (FullHouse, ['5', 'A', '5', 'A', '5'])
746: (FullHouse, ['6', '2', '6', '2', '6'])
747: (FullHouse, ['6', '4', '6', '4', '4'])
748: (FullHouse, ['6', '6', '5', '5', '5'])
749: (FullHouse, ['6', '6', '7', '7', '7'])
750: (FullHouse, ['6', '6', '9', '9', '6'])
751: (FullHouse, ['6', '6', 'Q', 'Q', 'J'])
752: (FullHouse, ['6', '9', '9', 'J', '6'])
753: (FullHouse, ['6', 'K', '6', 'K', 'K'])
754: (FullHouse, ['7', '3', '7', '3', 'J'])
755: (FullHouse, ['7', '3', '7', '3', '3'])
756: (FullHouse, ['7', '7', 'J', '5', '5'])
757: (FullHouse, ['7', '7', '4', '7', '4'])
758: (FullHouse, ['7', '7', '6', '6', '6'])
759: (FullHouse, ['7', '7', '7', '2', '2'])
760: (FullHouse, ['7', 'Q', 'Q', 'Q', '7'])
761: (FullHouse, ['7', 'A', '7', 'A', '7'])
762: (FullHouse, ['8', 'J', '3', '3', '8'])
763: (FullHouse, ['8', '2', '2', '8', '2'])
764: (FullHouse, ['8', '2', '8', '8', '2'])
765: (FullHouse, ['8', '5', '5', '5', '8'])
766: (FullHouse, ['8', '7', '8', '7', '7'])
767: (FullHouse, ['8', '8', 'J', 'T', 'T'])
768: (FullHouse, ['8', '8', 'J', 'A', 'A'])
769: (FullHouse, ['8', '8', '5', '8', '5'])
770: (FullHouse, ['8', '8', '8', '7', '7'])
771: (FullHouse, ['8', '8', 'T', 'T', '8'])
772: (FullHouse, ['8', '8', 'Q', 'Q', '8'])
773: (FullHouse, ['8', 'Q', 'Q', '8', 'Q'])
774: (FullHouse, ['9', 'J', '4', '4', '9'])
775: (FullHouse, ['9', '3', '9', '9', '3'])
776: (FullHouse, ['9', '9', '2', '2', '2'])
777: (FullHouse, ['9', '9', '6', '9', '6'])
778: (FullHouse, ['9', '9', '7', '9', '7'])
779: (FullHouse, ['9', '9', '8', '8', '8'])
780: (FullHouse, ['9', '9', 'T', 'T', '9'])
781: (FullHouse, ['9', '9', 'K', '9', 'K'])
782: (FullHouse, ['9', '9', 'A', '9', 'A'])
783: (FullHouse, ['9', 'K', 'K', '9', 'K'])
784: (FullHouse, ['9', 'A', '9', 'A', 'J'])
785: (FullHouse, ['T', 'J', 'T', 'T', 'J'])
786: (FullHouse, ['T', 'J', 'T', 'K', 'K'])
787: (FullHouse, ['T', '4', 'T', 'T', '4'])
788: (FullHouse, ['T', '6', '6', 'T', 'T'])
789: (FullHouse, ['T', 'T', 'J', 'J', 'J'])
790: (FullHouse, ['T', 'T', '3', '3', '3'])
791: (FullHouse, ['T', 'T', '4', '4', 'J'])
792: (FullHouse, ['T', 'T', '7', 'T', '7'])
793: (FullHouse, ['T', 'T', 'T', '2', '2'])
794: (FullHouse, ['T', 'T', 'T', 'A', 'A'])
795: (FullHouse, ['Q', 'J', '8', '8', 'Q'])
796: (FullHouse, ['Q', '4', 'Q', '4', 'Q'])
797: (FullHouse, ['Q', '9', 'J', '9', 'Q'])
798: (FullHouse, ['Q', 'T', 'T', 'Q', 'Q'])
799: (FullHouse, ['Q', 'Q', '2', '2', 'Q'])
800: (FullHouse, ['Q', 'Q', '6', '6', '6'])
801: (FullHouse, ['Q', 'Q', '9', '9', 'Q'])
802: (FullHouse, ['Q', 'Q', 'Q', 'J', 'J'])
803: (FullHouse, ['Q', 'Q', 'Q', '6', '6'])
804: (FullHouse, ['Q', 'A', 'A', 'A', 'Q'])
805: (FullHouse, ['K', 'J', 'J', 'K', 'K'])
806: (FullHouse, ['K', '2', '2', 'J', 'K'])
807: (FullHouse, ['K', '3', '3', '3', 'K'])
808: (FullHouse, ['K', '4', '4', '4', 'K'])
809: (FullHouse, ['K', '5', 'K', 'J', '5'])
810: (FullHouse, ['K', 'T', 'T', 'K', 'T'])
811: (FullHouse, ['K', 'K', '5', '5', '5'])
812: (FullHouse, ['K', 'K', '8', '8', 'K'])
813: (FullHouse, ['A', 'J', '6', '6', 'A'])
814: (FullHouse, ['A', '2', '2', '2', 'A'])
815: (FullHouse, ['A', '7', 'A', 'A', '7'])
816: (FullHouse, ['A', '8', '8', '8', 'A'])
817: (FullHouse, ['A', 'Q', 'A', 'J', 'Q'])
818: (FullHouse, ['A', 'K', 'A', 'A', 'K'])
819: (FullHouse, ['A', 'A', 'J', 'J', 'A'])
820: (FullHouse, ['A', 'A', '4', '4', 'J'])
821: (FullHouse, ['A', 'A', 'T', 'T', 'A'])
822: (FullHouse, ['A', 'A', 'K', 'K', 'J'])
823: (FourOfAKind, ['J', 'J', '6', '6', '7'])
824: (FourOfAKind, ['J', 'J', '9', 'K', '9'])
825: (FourOfAKind, ['J', '2', '2', 'J', '3'])
826: (FourOfAKind, ['J', '2', '5', '2', 'J'])
827: (FourOfAKind, ['J', '2', '7', '7', '7'])
828: (FourOfAKind, ['J', '3', 'J', '3', '6'])
829: (FourOfAKind, ['J', '4', '9', 'J', '9'])
830: (FourOfAKind, ['J', '5', '5', 'J', '9'])
831: (FourOfAKind, ['J', '5', '8', '5', '5'])
832: (FourOfAKind, ['J', '5', 'K', 'J', 'K'])
833: (FourOfAKind, ['J', '6', '8', '6', '6'])
834: (FourOfAKind, ['J', '7', '7', '7', '3'])
835: (FourOfAKind, ['J', '8', '2', '8', 'J'])
836: (FourOfAKind, ['J', '8', '4', '8', '8'])
837: (FourOfAKind, ['J', '8', '8', '8', '9'])
838: (FourOfAKind, ['J', '9', '5', '5', '5'])
839: (FourOfAKind, ['J', '9', '5', '9', '9'])
840: (FourOfAKind, ['J', '9', '9', 'J', '2'])
841: (FourOfAKind, ['J', '9', '9', '3', '9'])
842: (FourOfAKind, ['J', 'Q', '9', '9', '9'])
843: (FourOfAKind, ['J', 'A', '2', 'A', 'J'])
844: (FourOfAKind, ['2', 'J', 'J', 'J', '9'])
845: (FourOfAKind, ['2', 'J', '2', '2', '9'])
846: (FourOfAKind, ['2', 'J', '2', '2', 'K'])
847: (FourOfAKind, ['2', '2', 'J', '3', '2'])
848: (FourOfAKind, ['2', '2', '2', '4', '2'])
849: (FourOfAKind, ['2', '2', '2', 'Q', '2'])
850: (FourOfAKind, ['2', '2', '6', 'J', '2'])
851: (FourOfAKind, ['2', '2', '8', '2', '2'])
852: (FourOfAKind, ['2', '4', 'J', 'J', '4'])
853: (FourOfAKind, ['2', '6', 'J', '6', '6'])
854: (FourOfAKind, ['2', 'T', 'T', 'J', 'T'])
855: (FourOfAKind, ['2', 'K', 'K', 'K', 'J'])
856: (FourOfAKind, ['3', '2', '2', '2', '2'])
857: (FourOfAKind, ['3', '3', '3', 'J', '4'])
858: (FourOfAKind, ['3', '3', '3', 'J', '6'])
859: (FourOfAKind, ['3', '3', '3', '3', '5'])
860: (FourOfAKind, ['3', '3', '3', '3', 'Q'])
861: (FourOfAKind, ['3', '3', 'T', '3', '3'])
862: (FourOfAKind, ['3', '6', '3', '3', '3'])
863: (FourOfAKind, ['3', '8', '3', 'J', '3'])
864: (FourOfAKind, ['3', 'T', '3', '3', 'J'])
865: (FourOfAKind, ['3', 'K', '3', '3', '3'])
866: (FourOfAKind, ['4', 'J', '4', 'K', '4'])
867: (FourOfAKind, ['4', '3', '4', '4', 'J'])
868: (FourOfAKind, ['4', '4', '4', '2', '4'])
869: (FourOfAKind, ['4', '4', '4', '4', '9'])
870: (FourOfAKind, ['4', '4', '4', 'T', 'J'])
871: (FourOfAKind, ['4', '4', '4', 'T', '4'])
872: (FourOfAKind, ['4', '5', 'J', '5', '5'])
873: (FourOfAKind, ['4', '9', 'J', 'J', 'J'])
874: (FourOfAKind, ['4', 'K', '4', '4', '4'])
875: (FourOfAKind, ['4', 'A', '4', 'J', '4'])
876: (FourOfAKind, ['5', 'J', 'J', '6', '6'])
877: (FourOfAKind, ['5', '4', '4', '4', '4'])
878: (FourOfAKind, ['5', '5', '3', '5', 'J'])
879: (FourOfAKind, ['5', '5', '5', 'J', '7'])
880: (FourOfAKind, ['5', '5', '5', 'J', 'K'])
881: (FourOfAKind, ['5', '5', '5', '5', '4'])
882: (FourOfAKind, ['5', '5', '5', '5', 'K'])
883: (FourOfAKind, ['5', '5', '6', '5', 'J'])
884: (FourOfAKind, ['5', '5', '7', '5', '5'])
885: (FourOfAKind, ['5', '5', 'Q', '5', 'J'])
886: (FourOfAKind, ['5', 'T', 'J', 'J', 'T'])
887: (FourOfAKind, ['5', 'T', '5', '5', '5'])
888: (FourOfAKind, ['5', 'Q', '5', '5', '5'])
889: (FourOfAKind, ['5', 'K', 'J', 'K', 'K'])
890: (FourOfAKind, ['5', 'K', 'K', 'K', 'K'])
891: (FourOfAKind, ['5', 'A', 'A', 'A', 'A'])
892: (FourOfAKind, ['6', 'J', 'A', '6', '6'])
893: (FourOfAKind, ['6', '6', 'J', '4', '6'])
894: (FourOfAKind, ['6', '6', '4', '6', '6'])
895: (FourOfAKind, ['6', '6', '6', '3', '6'])
896: (FourOfAKind, ['6', '6', '6', '6', 'K'])
897: (FourOfAKind, ['6', '6', '6', '8', '6'])
898: (FourOfAKind, ['6', '6', '6', 'T', '6'])
899: (FourOfAKind, ['6', '6', '6', 'Q', 'J'])
900: (FourOfAKind, ['6', '6', '7', '6', 'J'])
901: (FourOfAKind, ['6', '7', '6', '6', '6'])
902: (FourOfAKind, ['6', '7', '7', '7', '7'])
903: (FourOfAKind, ['6', '8', '8', '8', '8'])
904: (FourOfAKind, ['6', '9', '6', '6', '6'])
905: (FourOfAKind, ['6', 'A', 'J', 'J', '6'])
906: (FourOfAKind, ['6', 'A', 'J', 'J', 'A'])
907: (FourOfAKind, ['7', '2', '7', '7', '7'])
908: (FourOfAKind, ['7', '4', '7', 'J', '7'])
909: (FourOfAKind, ['7', '7', 'J', '7', '9'])
910: (FourOfAKind, ['7', '7', '3', '7', '7'])
911: (FourOfAKind, ['7', '7', 'T', '7', '7'])
912: (FourOfAKind, ['7', '8', '8', 'J', '8'])
913: (FourOfAKind, ['7', 'T', 'J', '7', '7'])
914: (FourOfAKind, ['7', 'Q', '7', '7', '7'])
915: (FourOfAKind, ['7', 'K', 'K', 'K', 'K'])
916: (FourOfAKind, ['8', 'J', 'J', 'J', 'A'])
917: (FourOfAKind, ['8', 'J', '3', 'J', '8'])
918: (FourOfAKind, ['8', '2', '8', 'J', '8'])
919: (FourOfAKind, ['8', '3', '8', 'J', '8'])
920: (FourOfAKind, ['8', '5', '8', '8', '8'])
921: (FourOfAKind, ['8', '8', '8', '8', '3'])
922: (FourOfAKind, ['8', '8', '8', 'T', '8'])
923: (FourOfAKind, ['8', '8', '9', '8', '8'])
924: (FourOfAKind, ['8', 'K', '8', '8', '8'])
925: (FourOfAKind, ['9', 'J', 'J', '9', '5'])
926: (FourOfAKind, ['9', '3', '3', '3', '3'])
927: (FourOfAKind, ['9', '7', 'J', '7', 'J'])
928: (FourOfAKind, ['9', '9', 'J', 'Q', 'J'])
929: (FourOfAKind, ['9', '9', '8', '9', '9'])
930: (FourOfAKind, ['9', '9', '9', 'J', '6'])
931: (FourOfAKind, ['9', '9', '9', '6', '9'])
932: (FourOfAKind, ['9', '9', '9', '9', '2'])
933: (FourOfAKind, ['9', '9', '9', '9', '4'])
934: (FourOfAKind, ['9', '9', '9', '9', 'K'])
935: (FourOfAKind, ['9', '9', 'A', '9', 'J'])
936: (FourOfAKind, ['9', 'A', '9', '9', '9'])
937: (FourOfAKind, ['T', 'J', 'J', 'T', '9'])
938: (FourOfAKind, ['T', 'J', 'T', 'J', '4'])
939: (FourOfAKind, ['T', 'J', 'A', 'A', 'A'])
940: (FourOfAKind, ['T', '2', '2', '2', '2'])
941: (FourOfAKind, ['T', '3', 'T', 'T', 'J'])
942: (FourOfAKind, ['T', '5', 'J', 'T', 'T'])
